Date,Time,Year,EF Scale,Path Length (in miles),Width (in feet),Injury,Fatality,Property Damage,Crops Damage,commnets,Link,month,Decade
1964-03-04 00:00:00,11:00 ,1964,EF3,13.8,300.0,3,0,2500000,0,,"Mar. 04, 1964 11:00 AM CST",3,1960s
1964-03-04 00:00:00,11:30 ,1964,EF3,13.8,300.0,4,0,2500000,0,,"Mar. 04, 1964 11:30 AM CST",3,1960s
1964-07-11 00:00:00,22:00 ,1964,EF1,0.3,13.0,0,0,250000,0,,"Jul. 11, 1964 22:00 PM CDT",7,1960s
1964-08-12 00:00:00,3:30 ,1964,EF2,0.8,33.0,6,0,25000,0,,"Aug. 12, 1964 03:30 AM CDT",8,1960s
1964-12-25 00:00:00,22:00 ,1964,EF1,5.7,67.0,0,0,2500000,0,,"Dec. 25, 1964 22:00 PM CST",12,1960s
1965-02-11 00:00:00,13:00 ,1965,EF2,0.1,7.0,0,0,25000,0,,"Feb. 11, 1965 13:00 PM CST",2,1960s
1965-03-17 00:00:00,7:30 ,1965,EF1,0.1,7.0,0,0,250000,0,,"Mar. 17, 1965 07:30 AM CST",3,1960s
1965-03-17 00:00:00,8:00 ,1965,EF1,1.0,33.0,1,0,25000,0,,"Mar. 17, 1965 08:00 AM CST",3,1960s
1965-03-17 00:00:00,8:20 ,1965,EF2,2.0,50.0,0,0,250000,0,,"Mar. 17, 1965 08:20 AM CST",3,1960s
1965-03-17 00:00:00,9:00 ,1965,EF1,0.1,7.0,0,0,2500,0,,"Mar. 17, 1965 09:00 AM CST",3,1960s
1965-03-17 00:00:00,9:30 ,1965,EF1,2.0,73.0,2,0,250000,0,,"Mar. 17, 1965 09:30 AM CST",3,1960s
1965-03-17 00:00:00,11:00 ,1965,EF1,0.1,7.0,0,0,2500,0,,"Mar. 17, 1965 11:00 AM CST",3,1960s
1965-03-17 00:00:00,11:47 ,1965,EF1,0.1,7.0,0,0,2500,0,,"Mar. 17, 1965 11:47 AM CST",3,1960s
1965-04-15 00:00:00,13:50 ,1965,EF2,5.9,327.0,0,0,25000,0,,"Apr. 15, 1965 13:50 PM CST",4,1960s
1965-04-15 00:00:00,16:13 ,1965,EF3,6.5,200.0,0,1,250000,0,,"Apr. 15, 1965 16:13 PM CST",4,1960s
1965-04-15 00:00:00,16:25 ,1965,EF3,10.4,600.0,50,0,2500000,0,,"Apr. 15, 1965 16:25 PM CST",4,1960s
1965-04-15 00:00:00,17:30 ,1965,EF2,7.4,200.0,6,0,2500000,0,,"Apr. 15, 1965 17:30 PM CST",4,1960s
1966-04-12 00:00:00,12:00 ,1966,EF1,1.0,73.0,0,0,2500,0,,"Apr. 12, 1966 12:00 PM CST",4,1960s
1966-04-30 00:00:00,12:00 ,1966,EF1,0.0,33.0,0,0,0,0,,"Apr. 30, 1966 12:00 PM CDT",4,1960s
1966-05-13 00:00:00,15:00 ,1966,EF1,0.1,7.0,0,0,25000,0,,"May. 13, 1966 15:00 PM CDT",5,1960s
1966-05-16 00:00:00,3:00 ,1966,EF1,0.1,7.0,0,0,25000,0,,"May. 16, 1966 03:00 AM CDT",5,1960s
1966-06-16 00:00:00,15:00 ,1966,EF1,0.1,7.0,0,0,25000,0,,"Jun. 16, 1966 15:00 PM CDT",6,1960s
1966-07-15 00:00:00,16:00 ,1966,EF1,0.1,7.0,1,0,25000,0,,"Jul. 15, 1966 16:00 PM CDT",7,1960s
